x,y,rho
0.250000,0.000000,0,247997.203012
0.250000,0.050000,1,-183954.655064
0.250000,0.100000,2,-330192.051111
0.250000,0.150000,3,515079.378686
0.250000,0.200000,4,201936.938609
0.250000,0.250000,5,-317194.572457
0.250000,0.300000,6,344476.309790
0.250000,0.350000,7,-400024.895941
0.250000,0.400000,8,-537905.938101
0.250000,0.450000,9,-298886.841051
0.250000,0.500000,10,-269719.472703
0.250000,0.550000,11,331167.954335
0.250000,0.600000,12,77025.054056
0.250000,0.650000,13,17887.313552
0.250000,0.700000,14,-582991.438761
0.250000,0.750000,15,-203445.629054
0.250000,0.800000,16,128599.627989
0.250000,0.850000,17,-85591.008353
0.250000,0.900000,18,171055.933556
0.250000,0.950000,19,827356.504610
0.250000,1.000000,20,39317.613627
0.300000,0.000000,21,0.000000
0.300000,0.050000,22,2352.569542
0.300000,0.100000,23,2837.443833
0.300000,0.150000,24,708.089399
0.300000,0.200000,25,3992.840227
0.300000,0.250000,26,-3607.588896
0.300000,0.300000,27,0.000000
0.300000,0.350000,28,-1067.511833
0.300000,0.400000,29,879.869603
0.300000,0.450000,30,0.000000
0.300000,0.500000,31,1635.397062
0.300000,0.550000,32,0.000000
0.300000,0.600000,33,-3297.302983
0.300000,0.650000,34,-3996.193169
0.300000,0.700000,35,-3228.205725
0.300000,0.750000,36,0.000000
0.300000,0.800000,37,315.408321
0.300000,0.850000,38,-2413.488661
0.300000,0.900000,39,0.000000
0.300000,0.950000,40,3736.686880
0.300000,1.000000,41,0.000000
0.350000,0.000000,42,0.000000
0.350000,0.050000,43,0.000000
0.350000,0.100000,44,0.000000
0.350000,0.150000,45,0.000000
0.350000,0.200000,46,-926.713007
0.350000,0.250000,47,-3523.823499
0.350000,0.300000,48,0.000000
0.350000,0.350000,49,-3583.584714
0.350000,0.400000,50,-762.020078
0.350000,0.450000,51,-3594.212964
0.350000,0.500000,52,1250.729604
0.350000,0.550000,53,0.000000
0.350000,0.600000,54,-243.200952
0.350000,0.650000,55,-3027.325272
0.350000,0.700000,56,-727.793228
0.350000,0.750000,57,2335.918433
0.350000,0.800000,58,2003.230772
0.350000,0.850000,59,0.000000
0.350000,0.900000,60,2093.059779
0.350000,0.950000,61,-2984.125930
0.350000,1.000000,62,0.000000
0.400000,0.000000,63,0.000000
0.400000,0.050000,64,1013.573492
0.400000,0.100000,65,0.000000
0.400000,0.150000,66,0.000000
0.400000,0.200000,67,0.000000
0.400000,0.250000,68,0.000000
0.400000,0.300000,69,0.000000
0.400000,0.350000,70,0.000000
0.400000,0.400000,71,0.000000
0.400000,0.450000,72,0.000000
0.400000,0.500000,73,0.000000
0.400000,0.550000,74,0.000000
0.400000,0.600000,75,0.000000
0.400000,0.650000,76,0.000000
0.400000,0.700000,77,0.000000
0.400000,0.750000,78,0.000000
0.400000,0.800000,79,0.000000
0.400000,0.850000,80,0.000000
0.400000,0.900000,81,0.000000
0.400000,0.950000,82,0.000000
0.400000,1.000000,83,0.000000
0.450000,0.000000,84,0.000000
0.450000,0.050000,85,0.000000
0.450000,0.100000,86,-2954.217549
0.450000,0.150000,87,1644.430422
0.450000,0.200000,88,0.000000
0.450000,0.250000,89,5436.416152
0.450000,0.300000,90,0.000000
0.450000,0.350000,91,-3051.792655
0.450000,0.400000,92,1290.308292
0.450000,0.450000,93,-2952.863443
0.450000,0.500000,94,-1895.598716
0.450000,0.550000,95,2313.080209
0.450000,0.600000,96,-183.993002
0.450000,0.650000,97,-3388.317994
0.450000,0.700000,98,-2076.342753
0.450000,0.750000,99,4893.089036
0.450000,0.800000,100,-1389.536812
0.450000,0.850000,101,0.000000
0.450000,0.900000,102,-3452.370476
0.450000,0.950000,103,3544.552170
0.450000,1.000000,104,2254.473976
0.500000,0.000000,105,0.000000
0.500000,0.050000,106,110809.516136
0.500000,0.100000,107,-278112.188979
0.500000,0.150000,108,474203.166887
0.500000,0.200000,109,160491.964586
0.500000,0.250000,110,253642.262989
0.500000,0.300000,111,0.000000
0.500000,0.350000,112,316830.403215
0.500000,0.400000,113,212613.731024
0.500000,0.450000,114,0.000000
0.500000,0.500000,115,-32244.852457
0.500000,0.550000,116,-47504.261311
0.500000,0.600000,117,-284462.820501
0.500000,0.650000,118,182263.014718
0.500000,0.700000,119,-14849.397431
0.500000,0.750000,120,0.000000
0.500000,0.800000,121,-587891.458671
0.500000,0.850000,122,235637.544252
0.500000,0.900000,123,-383099.589285
0.500000,0.950000,124,353140.495510
0.500000,1.000000,125,0.000000
