c,t,x,y,xVel,yVel
0,0.000000,0.284599,0.038493,0.000000,0.000000
1,0.000000,0.295747,0.053552,0.000000,0.000000
2,0.000000,0.284937,0.127308,0.000000,0.000000
3,0.000000,0.257361,0.153700,0.000000,0.000000
4,0.000000,0.250213,0.232777,0.000000,0.000000
5,0.000000,0.298846,0.288773,0.000000,0.000000
6,0.000000,0.281817,0.334224,0.000000,0.000000
7,0.000000,0.274296,0.399884,0.000000,0.000000
8,0.000000,0.254933,0.400698,0.000000,0.000000
9,0.000000,0.279683,0.460153,0.000000,0.000000
10,0.000000,0.294060,0.544752,0.000000,0.000000
11,0.000000,0.299312,0.590500,0.000000,0.000000
12,0.000000,0.282821,0.625436,0.000000,0.000000
13,0.000000,0.269902,0.682797,0.000000,0.000000
14,0.000000,0.264290,0.733010,0.000000,0.000000
15,0.000000,0.289176,0.781856,0.000000,0.000000
16,0.000000,0.253492,0.813674,0.000000,0.000000
17,0.000000,0.254053,0.887970,0.000000,0.000000
18,0.000000,0.274788,0.942903,0.000000,0.000000
19,0.000000,0.295302,0.972586,0.000000,0.000000
20,0.000000,0.302041,0.016646,0.000000,0.000000
21,0.000000,0.347274,0.065958,0.000000,0.000000
22,0.000000,0.346059,0.148779,0.000000,0.000000
23,0.000000,0.322151,0.168681,0.000000,0.000000
24,0.000000,0.301945,0.232971,0.000000,0.000000
25,0.000000,0.314515,0.272148,0.000000,0.000000
26,0.000000,0.315858,0.325640,0.000000,0.000000
27,0.000000,0.301426,0.379693,0.000000,0.000000
28,0.000000,0.336876,0.404481,0.000000,0.000000
29,0.000000,0.323025,0.499783,0.000000,0.000000
30,0.000000,0.319327,0.501824,0.000000,0.000000
31,0.000000,0.310382,0.599098,0.000000,0.000000
32,0.000000,0.341936,0.645157,0.000000,0.000000
33,0.000000,0.348927,0.667308,0.000000,0.000000
34,0.000000,0.338715,0.719253,0.000000,0.000000
35,0.000000,0.311513,0.783768,0.000000,0.000000
36,0.000000,0.316167,0.849626,0.000000,0.000000
37,0.000000,0.334495,0.851052,0.000000,0.000000
38,0.000000,0.340793,0.937928,0.000000,0.000000
39,0.000000,0.339994,0.960953,0.000000,0.000000
40,0.000000,0.361782,0.030281,0.000000,0.000000
41,0.000000,0.350216,0.090663,0.000000,0.000000
