x,y,rho
0.750000,0.000000,0,164638.493408
0.750000,0.050000,1,-146891.521948
0.750000,0.100000,2,0.000000
0.750000,0.150000,3,-130625.743817
0.750000,0.200000,4,-143902.367023
0.750000,0.250000,5,301297.967183
0.750000,0.300000,6,-399658.950787
0.750000,0.350000,7,196077.398654
0.750000,0.400000,8,32622.148973
0.750000,0.450000,9,0.000000
0.750000,0.500000,10,434594.586884
0.750000,0.550000,11,0.000000
0.750000,0.600000,12,407449.351897
0.750000,0.650000,13,269640.432953
0.750000,0.700000,14,-87160.710553
0.750000,0.750000,15,-102098.132100
0.750000,0.800000,16,0.000000
0.750000,0.850000,17,-270639.146178
0.750000,0.900000,18,-91691.129253
0.750000,0.950000,19,6223.214533
0.750000,1.000000,20,-328791.432972
0.800000,0.000000,21,1923.192161
0.800000,0.050000,22,-2689.828632
0.800000,0.100000,23,-1538.833325
0.800000,0.150000,24,2204.054196
0.800000,0.200000,25,-50.614331
0.800000,0.250000,26,3522.947784
0.800000,0.300000,27,0.000000
0.800000,0.350000,28,-3849.552162
0.800000,0.400000,29,-2754.379887
0.800000,0.450000,30,3950.923100
0.800000,0.500000,31,-3893.717436
0.800000,0.550000,32,0.000000
0.800000,0.600000,33,-480.005510
0.800000,0.650000,34,-1580.128833
0.800000,0.700000,35,0.000000
0.800000,0.750000,36,2047.288145
0.800000,0.800000,37,-3840.317225
0.800000,0.850000,38,0.000000
0.800000,0.900000,39,3518.444747
0.800000,0.950000,40,1745.905305
0.800000,1.000000,41,-972.088872
0.850000,0.000000,42,0.000000
0.850000,0.050000,43,0.000000
0.850000,0.100000,44,0.000000
0.850000,0.150000,45,0.000000
0.850000,0.200000,46,0.000000
0.850000,0.250000,47,-4448.558049
0.850000,0.300000,48,-1217.393006
0.850000,0.350000,49,-3978.409518
0.850000,0.400000,50,1534.286666
0.850000,0.450000,51,0.000000
0.850000,0.500000,52,50.020769
0.850000,0.550000,53,0.000000
0.850000,0.600000,54,3256.023271
0.850000,0.650000,55,-2168.365630
0.850000,0.700000,56,0.000000
0.850000,0.750000,57,406.939555
0.850000,0.800000,58,-1506.215340
0.850000,0.850000,59,-201.272739
0.850000,0.900000,60,0.000000
0.850000,0.950000,61,-69.668241
0.850000,1.000000,62,0.000000
0.900000,0.000000,63,0.000000
0.900000,0.050000,64,0.000000
0.900000,0.100000,65,-18.961646
0.900000,0.150000,66,2950.797345
0.900000,0.200000,67,0.000000
0.900000,0.250000,68,1018.832494
0.900000,0.300000,69,0.000000
0.900000,0.350000,70,-1703.357459
0.900000,0.400000,71,-1625.934648
0.900000,0.450000,72,2056.158124
0.900000,0.500000,73,-2648.664116
0.900000,0.550000,74,3837.268323
0.900000,0.600000,75,0.000000
0.900000,0.650000,76,496.991266
0.900000,0.700000,77,0.000000
0.900000,0.750000,78,-822.692681
0.900000,0.800000,79,0.000000
0.900000,0.850000,80,270.460090
0.900000,0.900000,81,1050.248584
0.900000,0.950000,82,2791.217468
0.900000,1.000000,83,3027.653403
0.950000,0.000000,84,-1988.329642
0.950000,0.050000,85,-581.195874
0.950000,0.100000,86,0.000000
0.950000,0.150000,87,-591.622994
0.950000,0.200000,88,-102.371194
0.950000,0.250000,89,-1985.179844
0.950000,0.300000,90,-1474.742049
0.950000,0.350000,91,0.000000
0.950000,0.400000,92,289.382403
0.950000,0.450000,93,-213.454373
0.950000,0.500000,94,-1295.071798
0.950000,0.550000,95,-1471.517748
0.950000,0.600000,96,-1455.262868
0.950000,0.650000,97,-616.438003
0.950000,0.700000,98,789.376141
0.950000,0.750000,99,0.000000
0.950000,0.800000,100,-1350.515117
0.950000,0.850000,101,-821.033146
0.950000,0.900000,102,1401.873633
0.950000,0.950000,103,748.593404
0.950000,1.000000,104,0.000000
1.000000,0.000000,105,-602.430789
1.000000,0.050000,106,-540.405537
1.000000,0.100000,107,1253.152494
1.000000,0.150000,108,-887.434492
1.000000,0.200000,109,-2620.980075
1.000000,0.250000,110,-4827.259156
1.000000,0.300000,111,-5919.289375
1.000000,0.350000,112,0.000000
1.000000,0.400000,113,1667.505455
1.000000,0.450000,114,-320.181559
1.000000,0.500000,115,-3524.986617
1.000000,0.550000,116,-715.911767
1.000000,0.600000,117,-4665.272237
1.000000,0.650000,118,-7082.348542
1.000000,0.700000,119,1184.064211
1.000000,0.750000,120,-1686.437015
1.000000,0.800000,121,-2025.772675
1.000000,0.850000,122,1106.523132
1.000000,0.900000,123,5887.086699
1.000000,0.950000,124,2816.464266
1.000000,1.000000,125,0.000000
