x,y,rho
0.500000,0.000000,0,0.000000
0.500000,0.050000,1,0.000000
0.500000,0.100000,2,-114891.994714
0.500000,0.150000,3,297634.428373
0.500000,0.200000,4,124644.219031
0.500000,0.250000,5,-360201.869305
0.500000,0.300000,6,0.000000
0.500000,0.350000,7,441740.791200
0.500000,0.400000,8,0.000000
0.500000,0.450000,9,-789487.240212
0.500000,0.500000,10,0.000000
0.500000,0.550000,11,-248456.837673
0.500000,0.600000,12,229169.893024
0.500000,0.650000,13,150635.554393
0.500000,0.700000,14,296229.017937
0.500000,0.750000,15,0.000000
0.500000,0.800000,16,566029.990943
0.500000,0.850000,17,0.000000
0.500000,0.900000,18,-50430.800633
0.500000,0.950000,19,0.000000
0.500000,1.000000,20,-358302.412464
0.550000,0.000000,21,-344.975171
0.550000,0.050000,22,-38.728771
0.550000,0.100000,23,-1947.602582
0.550000,0.150000,24,519.091441
0.550000,0.200000,25,685.626204
0.550000,0.250000,26,1820.786836
0.550000,0.300000,27,-3090.499542
0.550000,0.350000,28,3424.904715
0.550000,0.400000,29,489.037121
0.550000,0.450000,30,-2811.066582
0.550000,0.500000,31,0.000000
0.550000,0.550000,32,1849.493674
0.550000,0.600000,33,492.998157
0.550000,0.650000,34,0.000000
0.550000,0.700000,35,2239.973781
0.550000,0.750000,36,2918.875064
0.550000,0.800000,37,-3958.551116
0.550000,0.850000,38,-3674.443006
0.550000,0.900000,39,-2923.589214
0.550000,0.950000,40,0.000000
0.550000,1.000000,41,581.500957
0.600000,0.000000,42,0.000000
0.600000,0.050000,43,0.000000
0.600000,0.100000,44,0.000000
0.600000,0.150000,45,0.000000
0.600000,0.200000,46,0.000000
0.600000,0.250000,47,1342.384345
0.600000,0.300000,48,0.000000
0.600000,0.350000,49,-3003.516174
0.600000,0.400000,50,-3533.963794
0.600000,0.450000,51,0.000000
0.600000,0.500000,52,-1509.273597
0.600000,0.550000,53,-2884.808365
0.600000,0.600000,54,0.000000
0.600000,0.650000,55,-3818.832369
0.600000,0.700000,56,-248.504503
0.600000,0.750000,57,0.000000
0.600000,0.800000,58,1910.156128
0.600000,0.850000,59,-1959.140508
0.600000,0.900000,60,968.859293
0.600000,0.950000,61,222.645693
0.600000,1.000000,62,-770.318874
0.650000,0.000000,63,-2021.366577
0.650000,0.050000,64,537.760644
0.650000,0.100000,65,3040.162596
0.650000,0.150000,66,0.000000
0.650000,0.200000,67,3101.069135
0.650000,0.250000,68,-508.631876
0.650000,0.300000,69,-187.613750
0.650000,0.350000,70,0.000000
0.650000,0.400000,71,5079.441743
0.650000,0.450000,72,-2922.390803
0.650000,0.500000,73,1275.678700
0.650000,0.550000,74,2684.757079
0.650000,0.600000,75,-3400.602735
0.650000,0.650000,76,-3773.969263
0.650000,0.700000,77,0.000000
0.650000,0.750000,78,-3431.934159
0.650000,0.800000,79,4842.071714
0.650000,0.850000,80,0.000000
0.650000,0.900000,81,-1784.099945
0.650000,0.950000,82,699.116370
0.650000,1.000000,83,0.000000
0.700000,0.000000,84,0.000000
0.700000,0.050000,85,3411.603953
0.700000,0.100000,86,-3245.915092
0.700000,0.150000,87,-1079.265524
0.700000,0.200000,88,242.568961
0.700000,0.250000,89,-915.997545
0.700000,0.300000,90,2995.051562
0.700000,0.350000,91,494.104924
0.700000,0.400000,92,0.000000
0.700000,0.450000,93,5384.909662
0.700000,0.500000,94,0.000000
0.700000,0.550000,95,2337.414441
0.700000,0.600000,96,-2258.884191
0.700000,0.650000,97,-1084.563645
0.700000,0.700000,98,837.226576
0.700000,0.750000,99,0.000000
0.700000,0.800000,100,1676.902047
0.700000,0.850000,101,-4677.769753
0.700000,0.900000,102,0.000000
0.700000,0.950000,103,-2963.779881
0.700000,1.000000,104,-340.959253
0.750000,0.000000,105,0.000000
0.750000,0.050000,106,-186196.074231
0.750000,0.100000,107,0.000000
0.750000,0.150000,108,-110534.133205
0.750000,0.200000,109,290806.812930
0.750000,0.250000,110,-79918.920962
0.750000,0.300000,111,0.000000
0.750000,0.350000,112,365411.009347
0.750000,0.400000,113,115209.248032
0.750000,0.450000,114,362500.293752
0.750000,0.500000,115,-209679.581191
0.750000,0.550000,116,128744.788293
0.750000,0.600000,117,-181883.711726
0.750000,0.650000,118,-134753.966254
0.750000,0.700000,119,-28685.953030
0.750000,0.750000,120,0.000000
0.750000,0.800000,121,-248064.868153
0.750000,0.850000,122,339913.387882
0.750000,0.900000,123,3805.785054
0.750000,0.950000,124,0.000000
0.750000,1.000000,125,112421.009646
