c,t,x,y,xVel,yVel
0,0.000000,0.794112,0.027275,0.000000,0.000000
1,0.000000,0.774149,0.051924,0.000000,0.000000
2,0.000000,0.794665,0.125876,0.000000,0.000000
3,0.000000,0.766035,0.187589,0.000000,0.000000
4,0.000000,0.756297,0.211483,0.000000,0.000000
5,0.000000,0.752616,0.297898,0.000000,0.000000
6,0.000000,0.787716,0.319759,0.000000,0.000000
7,0.000000,0.759183,0.351630,0.000000,0.000000
8,0.000000,0.752825,0.432537,0.000000,0.000000
9,0.000000,0.763916,0.464251,0.000000,0.000000
10,0.000000,0.781559,0.508363,0.000000,0.000000
11,0.000000,0.777329,0.582512,0.000000,0.000000
12,0.000000,0.769939,0.627177,0.000000,0.000000
13,0.000000,0.768906,0.693212,0.000000,0.000000
14,0.000000,0.782374,0.749509,0.000000,0.000000
15,0.000000,0.767561,0.752124,0.000000,0.000000
16,0.000000,0.786146,0.839840,0.000000,0.000000
17,0.000000,0.761794,0.899024,0.000000,0.000000
18,0.000000,0.776205,0.901849,0.000000,0.000000
19,0.000000,0.792822,0.965764,0.000000,0.000000
20,0.000000,0.834061,0.047324,0.000000,0.000000
21,0.000000,0.802574,0.074653,0.000000,0.000000
22,0.000000,0.823012,0.144591,0.000000,0.000000
23,0.000000,0.819326,0.163497,0.000000,0.000000
24,0.000000,0.803228,0.245871,0.000000,0.000000
25,0.000000,0.848614,0.263433,0.000000,0.000000
26,0.000000,0.841899,0.349579,0.000000,0.000000
27,0.000000,0.804942,0.361373,0.000000,0.000000
28,0.000000,0.819615,0.437578,0.000000,0.000000
29,0.000000,0.816825,0.480399,0.000000,0.000000
30,0.000000,0.828285,0.514460,0.000000,0.000000
31,0.000000,0.848109,0.567034,0.000000,0.000000
32,0.000000,0.800444,0.640046,0.000000,0.000000
33,0.000000,0.829956,0.659372,0.000000,0.000000
34,0.000000,0.802680,0.712600,0.000000,0.000000
35,0.000000,0.824913,0.761214,0.000000,0.000000
36,0.000000,0.849270,0.803113,0.000000,0.000000
37,0.000000,0.813467,0.858055,0.000000,0.000000
38,0.000000,0.826688,0.927670,0.000000,0.000000
39,0.000000,0.841758,0.994495,0.000000,0.000000
40,0.000000,0.872592,0.022781,0.000000,0.000000
41,0.000000,0.850749,0.070889,0.000000,0.000000
42,0.000000,0.853560,0.121333,0.000000,0.000000
43,0.000000,0.850962,0.151289,0.000000,0.000000
44,0.000000,0.861861,0.203970,0.000000,0.000000
45,0.000000,0.868632,0.278883,0.000000,0.000000
46,0.000000,0.888835,0.328153,0.000000,0.000000
47,0.000000,0.858617,0.391620,0.000000,0.000000
48,0.000000,0.889772,0.418309,0.000000,0.000000
49,0.000000,0.858505,0.460066,0.000000,0.000000
50,0.000000,0.857637,0.532658,0.000000,0.000000
51,0.000000,0.871229,0.583408,0.000000,0.000000
52,0.000000,0.851854,0.636967,0.000000,0.000000
53,0.000000,0.872526,0.687929,0.000000,0.000000
54,0.000000,0.852569,0.749790,0.000000,0.000000
55,0.000000,0.895212,0.768422,0.000000,0.000000
56,0.000000,0.899069,0.807257,0.000000,0.000000
57,0.000000,0.856040,0.865874,0.000000,0.000000
58,0.000000,0.871065,0.905647,0.000000,0.000000
59,0.000000,0.863761,0.964152,0.000000,0.000000
60,0.000000,0.900953,0.021789,0.000000,0.000000
61,0.000000,0.910925,0.093018,0.000000,0.000000
62,0.000000,0.941786,0.144872,0.000000,0.000000
63,0.000000,0.943981,0.167398,0.000000,0.000000
64,0.000000,0.947466,0.219967,0.000000,0.000000
65,0.000000,0.904920,0.265179,0.000000,0.000000
66,0.000000,0.941256,0.314248,0.000000,0.000000
67,0.000000,0.905746,0.370288,0.000000,0.000000
68,0.000000,0.911856,0.441354,0.000000,0.000000
69,0.000000,0.936275,0.455115,0.000000,0.000000
70,0.000000,0.920760,0.506068,0.000000,0.000000
71,0.000000,0.937904,0.566993,0.000000,0.000000
72,0.000000,0.938455,0.608779,0.000000,0.000000
73,0.000000,0.925973,0.652760,0.000000,0.000000
74,0.000000,0.901421,0.700226,0.000000,0.000000
75,0.000000,0.926659,0.755145,0.000000,0.000000
76,0.000000,0.920318,0.846402,0.000000,0.000000
77,0.000000,0.921234,0.852148,0.000000,0.000000
78,0.000000,0.938025,0.914004,0.000000,0.000000
79,0.000000,0.910462,0.950279,0.000000,0.000000
80,0.000000,0.997051,0.021039,0.000000,0.000000
81,0.000000,0.955429,0.058943,0.000000,0.000000
82,0.000000,0.956825,0.147398,0.000000,0.000000
83,0.000000,0.953092,0.173371,0.000000,0.000000
84,0.000000,0.966758,0.224792,0.000000,0.000000
85,0.000000,0.950391,0.251451,0.000000,0.000000
86,0.000000,0.999202,0.321769,0.000000,0.000000
87,0.000000,0.962262,0.393003,0.000000,0.000000
88,0.000000,0.995611,0.431028,0.000000,0.000000
89,0.000000,0.970313,0.491490,0.000000,0.000000
90,0.000000,0.950130,0.538541,0.000000,0.000000
91,0.000000,0.986014,0.593970,0.000000,0.000000
92,0.000000,0.988892,0.600795,0.000000,0.000000
93,0.000000,0.950548,0.653888,0.000000,0.000000
94,0.000000,0.964965,0.720646,0.000000,0.000000
95,0.000000,0.979608,0.771036,0.000000,0.000000
96,0.000000,0.999396,0.820239,0.000000,0.000000
97,0.000000,0.965587,0.882501,0.000000,0.000000
98,0.000000,0.983924,0.928112,0.000000,0.000000
99,0.000000,0.966266,0.998424,0.000000,0.000000
0,0.100000,0.794112,0.052198,0.000000,0.249238
1,0.100000,0.774149,0.073055,0.000000,0.211313
2,0.100000,0.794665,0.125876,0.000000,0.000000
3,0.100000,0.766035,0.187589,0.000000,0.000000
4,0.100000,0.756297,0.211483,0.000000,0.000000
5,0.100000,0.752616,0.297898,0.000000,0.000000
6,0.100000,0.787716,0.319759,0.000000,0.000000
7,0.100000,0.759183,0.351630,0.000000,0.000000
8,0.100000,0.752825,0.432537,0.000000,0.000000
9,0.100000,0.763916,0.464251,0.000000,0.000000
10,0.100000,0.781559,0.508363,0.000000,0.000000
11,0.100000,0.777329,0.582512,0.000000,0.000000
12,0.100000,0.769939,0.627177,0.000000,0.000000
13,0.100000,0.768906,0.693212,0.000000,0.000000
14,0.100000,0.782374,0.749509,0.000000,0.000000
15,0.100000,0.767561,0.752124,0.000000,0.000000
16,0.100000,0.786146,0.839840,0.000000,0.000000
17,0.100000,0.761794,0.899024,0.000000,0.000000
18,0.100000,0.776205,0.901849,0.000000,0.000000
19,0.100000,0.792822,0.982012,0.000000,0.162473
20,0.100000,0.834061,0.040076,0.000000,-0.072476
21,0.100000,0.802574,0.042922,0.000000,-0.317308
22,0.100000,0.823012,0.144591,0.000000,0.000000
23,0.100000,0.819326,0.163497,0.000000,0.000000
24,0.100000,0.803228,0.245871,0.000000,0.000000
25,0.100000,0.848614,0.263433,0.000000,0.000000
26,0.100000,0.841899,0.349579,0.000000,0.000000
27,0.100000,0.804942,0.361373,0.000000,0.000000
28,0.100000,0.819615,0.437578,0.000000,0.000000
29,0.100000,0.816825,0.480399,0.000000,0.000000
30,0.100000,0.828285,0.514460,0.000000,0.000000
31,0.100000,0.848109,0.567034,0.000000,0.000000
32,0.100000,0.800444,0.640046,0.000000,0.000000
33,0.100000,0.829956,0.659372,0.000000,0.000000
34,0.100000,0.802680,0.712600,0.000000,0.000000
35,0.100000,0.824913,0.761214,0.000000,0.000000
36,0.100000,0.849270,0.803113,0.000000,0.000000
37,0.100000,0.813467,0.858055,0.000000,0.000000
38,0.100000,0.826688,0.936445,0.000000,0.087742
39,0.100000,0.841758,0.994495,0.000000,0.000000
