x,y,z,gradx,grady
-0.480000,-0.360000,0,-2.025663,-8.665318
-0.480000,-0.350000,0,-2.313676,-8.766859
-0.480000,-0.340000,0,-2.614425,-8.859271
-0.480000,-0.330000,0,-2.927883,-8.941474
-0.480000,-0.320000,0,-3.253943,-9.012339
-0.480000,-0.310000,0,-3.592408,-9.070693
-0.480000,-0.300000,0,-3.942984,-9.115322
-0.480000,-0.290000,0,-4.305271,-9.144981
-0.480000,-0.280000,0,-4.678750,-9.158399
-0.480000,-0.270000,0,-5.062781,-9.154293
-0.480000,-0.260000,0,-5.456589,-9.131375
-0.480000,-0.250000,0,-5.859260,-9.088367
-0.480000,-0.240000,0,-6.269735,-9.024017
-0.480000,-0.230000,0,-6.686806,-8.937111
-0.480000,-0.220000,0,-7.109110,-8.826496
-0.480000,-0.210000,0,-7.535133,-8.691094
-0.480000,-0.200000,0,-7.963207,-8.529921
-0.480000,-0.190000,0,-8.391515,-8.342115
-0.480000,-0.180000,0,354.701835,-8.126946
-0.480000,-0.170000,0,364.538200,-7.883847
-0.480000,-0.160000,0,375.409662,-7.612429
-0.480000,-0.150000,0,387.620477,-7.312500
-0.480000,-0.140000,0,401.591083,-6.984088
-0.480000,-0.130000,0,417.913138,-6.627451
-0.480000,-0.120000,0,437.437335,-6.243096
-0.480000,-0.110000,0,461.418371,-5.831784
-0.480000,-0.100000,0,491.763740,-5.394541
-0.480000,-0.090000,0,531.480562,-4.932657
-0.480000,-0.080000,0,585.522312,-4.447688
-0.480000,-0.070000,0,662.500000,-3.941441
-0.480000,-0.060000,0,778.422878,-3.415973
-0.480000,-0.050000,0,965.715169,-2.873563
-0.480000,-0.040000,0,1297.819672,-2.316698
-0.480000,-0.030000,0,1967.894191,-1.748043
-0.480000,-0.020000,0,3593.581081,-1.170410
-0.480000,-0.010000,0,8468.994588,-0.586727
-0.480000,0.000000,0,16594.132653,0.000000
-0.480000,0.010000,0,8468.994588,0.586727
-0.480000,0.020000,0,3593.581081,1.170410
-0.480000,0.030000,0,1967.894191,1.748043
-0.480000,0.040000,0,1297.819672,2.316698
-0.480000,0.050000,0,965.715169,2.873563
-0.480000,0.060000,0,778.422878,3.415973
-0.480000,0.070000,0,662.500000,3.941441
-0.480000,0.080000,0,585.522312,4.447688
-0.480000,0.090000,0,531.480562,4.932657
-0.480000,0.100000,0,491.763740,5.394541
-0.480000,0.110000,0,461.418371,5.831784
-0.480000,0.120000,0,437.437335,6.243096
-0.480000,0.130000,0,417.913138,6.627451
-0.480000,0.140000,0,401.591083,6.984088
-0.480000,0.150000,0,387.620477,7.312500
-0.480000,0.160000,0,375.409662,7.612429
-0.480000,0.170000,0,364.538200,7.883847
-0.480000,0.180000,0,354.701835,8.126946
-0.480000,0.190000,0,345.676976,8.342115
-0.480000,0.200000,0,337.297165,8.529921
-0.480000,0.210000,0,329.437120,8.691094
-0.480000,0.220000,0,322.001688,8.826496
-0.480000,0.230000,0,314.918057,8.937111
-0.480000,0.240000,0,308.130161,9.024017
-0.480000,0.250000,0,301.594620,9.088367
-0.480000,0.260000,0,295.277735,9.131375
-0.480000,0.270000,0,289.153245,9.154293
-0.480000,0.280000,0,283.200637,9.158399
-0.480000,0.290000,0,277.403852,9.144981
-0.480000,0.300000,0,271.750299,9.115322
-0.480000,0.310000,0,266.230083,9.070693
-0.480000,0.320000,0,260.835410,9.012339
-0.480000,0.330000,0,255.560119,8.941474
-0.480000,0.340000,0,250.399315,-97.158968
-0.480000,0.350000,0,245.349081,8.766859
-0.480000,0.360000,0,240.406246,114.683557
-0.480000,0.370000,0,235.568210,8.555674
-0.480000,0.380000,0,230.832801,8.438900
-0.480000,0.390000,0,226.198159,8.315911
-0.480000,0.400000,0,221.662653,8.187566
-0.480000,0.410000,0,217.224812,8.054669
-0.480000,0.420000,0,212.883269,7.917966
-0.480000,0.430000,0,208.636725,7.778149
-0.480000,0.440000,0,204.483912,7.635856
-0.480000,0.450000,0,200.423577,7.491676
-0.480000,0.460000,0,196.454460,7.346145
-0.480000,0.470000,0,192.575284,7.199755
-0.480000,0.480000,0,188.784748,7.052951
-0.470000,-0.490000,0,0.795142,-7.043901
-0.470000,-0.480000,0,0.653186,-148.111444
