x,y,xVel,yVel
0.254924,0.009072,-1.799423,-0.163867
0.252760,0.010421,-1.835935,-0.192942
0.254963,0.028929,-1.720237,-0.510412
0.254578,0.039906,-1.650597,-0.691215
0.254355,0.040077,-1.652747,-0.695660
0.254256,0.051740,-1.550875,-0.870742
0.251919,0.060314,-1.493048,-1.012375
0.258203,0.079381,-1.200607,-1.154805
0.258683,0.088878,-1.081539,-1.232228
0.253118,0.097280,-1.014854,-1.366196
0.256821,0.102938,-0.916992,-1.353318
0.253794,0.115984,-0.760792,-1.456568
0.250652,0.123107,-0.675872,-1.522266
0.255080,0.138227,-0.473021,-1.492961
0.256731,0.142739,-0.417442,-1.476623
0.256135,0.153896,-0.288730,-1.483274
0.256046,0.166186,-0.155521,-1.470324
0.256417,0.173235,-0.084616,-1.453229
0.256295,0.187508,0.049732,-1.417621
0.251754,0.194137,0.122751,-1.435383
0.257496,0.205203,0.191203,-1.348709
0.257076,0.211047,0.235912,-1.329918
0.256294,0.226973,0.345270,-1.270436
0.250838,0.236451,0.425524,-1.260124
0.258624,0.241281,0.416905,-1.196133
0.262649,0.003764,-1.673062,-0.062295
0.264899,0.016385,-1.613238,-0.262424
0.268320,0.028951,-1.512090,-0.439306
0.265233,0.030456,-1.549711,-0.477012
0.265790,0.046282,-1.439530,-0.696577
0.263426,0.050464,-1.437451,-0.770588
0.268567,0.065866,-1.239052,-0.907600
0.269540,0.077693,-1.113794,-1.014632
0.267350,0.083371,-1.073595,-1.087142
0.266491,0.091015,-0.996342,-1.157064
0.264561,0.104517,-0.853240,-1.266954
0.268794,0.116306,-0.697172,-1.274673
0.262903,0.122640,-0.645280,-1.365687
0.268300,0.132469,-0.518636,-1.330115
0.269244,0.147928,-0.352336,-1.341543
0.260673,0.156042,-0.267705,-1.432387
0.269826,0.168589,-0.149699,-1.331777
0.261668,0.173139,-0.095750,-1.402357
0.261733,0.189701,0.053262,-1.364249
0.263488,0.193422,0.079294,-1.339484
0.265935,0.201147,0.132788,-1.298212
0.262203,0.218714,0.269198,-1.265729
0.267262,0.224186,0.285562,-1.213860
0.264079,0.232332,0.345549,-1.202577
0.266717,0.248980,0.422586,-1.124061
0.273238,0.008168,-1.503761,-0.119908
0.279114,0.012277,-1.414298,-0.168727
0.270119,0.029203,-1.485099,-0.434306
0.275671,0.038614,-1.361344,-0.531889
0.272820,0.046713,-1.346368,-0.651386
0.270971,0.055426,-1.303362,-0.769963
0.276852,0.060014,-1.201406,-0.774002
0.276025,0.077029,-1.062584,-0.945788
0.272482,0.081950,-1.045354,-1.021978
0.274585,0.097073,-0.875511,-1.111477
0.274826,0.109294,-0.746462,-1.177639
0.279086,0.110199,-0.716614,-1.138249
0.270842,0.128962,-0.550759,-1.294029
0.277848,0.130709,-0.514363,-1.225615
0.274563,0.145936,-0.367952,-1.285975
0.273674,0.155064,-0.279185,-1.300471
0.277117,0.164239,-0.194005,-1.268040
0.271278,0.178286,-0.064718,-1.306644
