x,y,xVel,yVel
0.771921,0.035557,0.249861,-0.023093
0.787446,0.070793,0.263880,-0.042801
0.785090,0.133977,0.276908,-0.078426
0.796813,0.181873,0.297685,-0.097434
0.772539,0.237855,0.310184,-0.129124
0.804135,0.018268,0.268388,-0.010529
0.841362,0.094835,0.296011,-0.046577
0.836000,0.121186,0.298446,-0.059689
0.822780,0.194160,0.312254,-0.093834
0.800305,0.215401,0.311125,-0.109612
0.852489,0.011707,0.293715,-0.005667
0.873708,0.082716,0.308708,-0.036548
0.865369,0.122452,0.311338,-0.054483
0.867095,0.167336,0.321469,-0.071573
0.869091,0.213808,0.334115,-0.086878
0.918195,0.011722,0.322168,-0.004541
0.919719,0.098957,0.328712,-0.037291
0.938537,0.148683,0.342014,-0.051345
0.931432,0.151606,0.340259,-0.053416
0.911653,0.242433,0.353705,-0.083729
0.951737,0.004919,0.334414,-0.001712
0.962783,0.099251,0.343248,-0.032666
0.979867,0.106074,0.349159,-0.033045
0.974794,0.193920,0.359713,-0.058116
0.957790,0.236036,0.363501,-0.071627
0.995520,0.260756,0.376551,-0.069434
0.969966,0.309508,0.382044,-0.083811
0.979981,0.357793,0.394601,-0.088800
0.998712,0.417581,0.410089,-0.091116
0.959187,0.499009,0.426351,-0.105067
0.972908,0.534258,0.434663,-0.102739
0.971929,0.569525,0.442223,-0.103120
0.982592,0.608278,0.449918,-0.100535
0.985502,0.698690,0.465979,-0.096990
0.975817,0.734833,0.472229,-0.096611
0.979848,0.788876,0.479766,-0.092606
0.959965,0.807279,0.483647,-0.093932
0.988450,0.875308,0.489591,-0.085417
0.963907,0.923127,0.496362,-0.084131
0.987947,0.960179,0.497748,-0.078999
0.994216,0.972827,0.498314,-0.077507
0.960470,0.986350,0.502104,-0.079111
0.967147,0.955411,0.499009,-0.081155
0.953750,0.988527,0.502846,-0.079448
0.965253,0.967656,0.500200,-0.080296
0.961654,0.969842,0.500682,-0.080410
0.966946,0.950877,0.498633,-0.081548
0.966907,0.977479,0.500863,-0.079345
0.982787,0.996419,0.501055,-0.076573
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
