x,y,xVel,yVel
0.514037,0.010679,-0.066943,-0.023566
0.507761,0.008386,-0.081323,-0.019208
0.540834,0.026305,-0.009193,-0.049649
0.536017,0.099500,0.028936,-0.181126
0.530842,0.075125,-0.001360,-0.144806
0.526958,0.075057,-0.008384,-0.147822
0.518637,0.134501,0.043342,-0.253934
0.549967,0.111125,0.060906,-0.184997
0.540119,0.121779,0.058039,-0.209969
0.543934,0.197530,0.156458,-0.287419
0.527982,0.177754,0.115099,-0.292297
0.537841,0.182069,0.130435,-0.282593
0.517933,0.239673,0.201904,-0.351062
0.508714,0.217570,0.161542,-0.354317
0.500562,0.202970,0.131066,-0.358066
0.538695,0.264599,0.245452,-0.329574
0.513649,0.296456,0.286655,-0.369276
0.522985,0.254483,0.226359,-0.348923
0.522760,0.309002,0.303879,-0.356366
0.503983,0.303603,0.297443,-0.383050
0.534127,0.330941,0.330858,-0.340198
0.528660,0.352764,0.357462,-0.342913
0.515442,0.378627,0.390335,-0.349932
0.513889,0.355561,0.364594,-0.359459
0.500406,0.407824,0.427370,-0.352545
0.503091,0.428388,0.445247,-0.339160
0.535578,0.440933,0.440145,-0.305877
0.510457,0.453511,0.462121,-0.319486
0.530605,0.469171,0.463392,-0.296756
0.521081,0.481167,0.476288,-0.297239
0.522141,0.509775,0.493250,-0.281608
0.545766,0.535789,0.495270,-0.256397
0.506231,0.518751,0.506974,-0.285427
0.540272,0.578991,0.516529,-0.238615
0.527753,0.594255,0.528051,-0.235806
0.532594,0.561880,0.513384,-0.249906
0.525196,0.611254,0.534780,-0.228327
0.514644,0.640638,0.547881,-0.216910
0.539880,0.628534,0.532966,-0.215990
0.546199,0.690287,0.544514,-0.188404
0.536357,0.699290,0.550061,-0.186527
0.518674,0.671935,0.552723,-0.201396
0.540222,0.729131,0.553043,-0.174261
0.525446,0.720828,0.557691,-0.179472
0.548302,0.746526,0.552306,-0.166831
0.501994,0.770443,0.571660,-0.162275
0.506301,0.797760,0.571531,-0.152031
0.506232,0.762532,0.569505,-0.165015
0.516510,0.846505,0.569772,-0.135647
0.541524,0.844263,0.562178,-0.135518
0.540760,0.824118,0.561454,-0.141628
0.506143,0.865955,0.573165,-0.129910
0.535372,0.870787,0.564799,-0.128099
0.506593,0.875252,0.573060,-0.127179
0.549321,0.902792,0.561731,-0.119287
0.515539,0.935678,0.570216,-0.111104
0.502081,0.934213,0.573582,-0.111214
0.507613,0.992304,0.570655,-0.097908
0.513344,0.983059,0.569697,-0.100081
0.513131,0.961646,0.570293,-0.104878
0.579585,0.015126,0.054374,-0.023275
0.582089,0.035886,0.062313,-0.054173
0.562885,0.038321,0.033107,-0.063867
0.598419,0.079396,0.102615,-0.107336
0.584825,0.089942,0.091363,-0.128737
0.573659,0.075585,0.067259,-0.116050
0.564060,0.129802,0.097292,-0.195707
0.591541,0.149432,0.145389,-0.191372
0.550589,0.148134,0.100882,-0.231520
0.574684,0.199910,0.182312,-0.251450
0.550925,0.190222,0.152507,-0.272444
0.585589,0.153007,0.142864,-0.200305
0.574435,0.243202,0.231705,-0.276793
0.595310,0.237779,0.235422,-0.251475
0.576260,0.208442,0.192989,-0.255535
0.599425,0.255845,0.255701,-0.254995
0.573567,0.281514,0.275223,-0.290667
0.591731,0.286453,0.284721,-0.272225
0.569834,0.340149,0.338364,-0.299792
0.565849,0.304660,0.300053,-0.303202
0.580092,0.339507,0.337400,-0.289487
0.580245,0.394152,0.387655,-0.283397
0.569309,0.371785,0.369555,-0.297060
0.593584,0.369899,0.364899,-0.275278
0.569919,0.418268,0.409996,-0.286334
0.569809,0.420844,0.412088,-0.285709
0.558490,0.405398,0.402414,-0.299455
0.573851,0.482926,0.454451,-0.262737
0.598599,0.469161,0.438039,-0.251810
0.570705,0.474859,0.450523,-0.267600
0.577603,0.520130,0.474073,-0.246921
0.580704,0.501170,0.462719,-0.252193
0.551643,0.522435,0.485878,-0.259469
0.587623,0.571478,0.493782,-0.223165
0.562585,0.553472,0.496067,-0.240803
0.576137,0.592676,0.506212,-0.219467
0.592979,0.606382,0.504660,-0.208477
0.586829,0.612288,0.508852,-0.208358
0.578168,0.630413,0.517691,-0.204238
0.582187,0.698087,0.532601,-0.178588
0.598681,0.651996,0.516292,-0.190750
0.568931,0.657171,0.528429,-0.196483
0.557394,0.742781,0.548612,-0.166999
0.590097,0.705993,0.531434,-0.174360
0.561942,0.710802,0.542160,-0.177769
0.580852,0.789545,0.546474,-0.149047
0.580931,0.761556,0.543213,-0.157683
0.590715,0.782575,0.542762,-0.150054
0.583991,0.828338,0.549061,-0.137541
0.554052,0.846576,0.558649,-0.134283
0.581810,0.830190,0.549807,-0.137193
0.589252,0.874789,0.550667,-0.124953
0.586572,0.876081,0.551405,-0.124768
0.587077,0.864740,0.550668,-0.127618
0.556494,0.919264,0.560225,-0.115096
0.562826,0.905175,0.558404,-0.118409
0.571260,0.931757,0.556961,-0.111913
0.562347,0.978653,0.559289,-0.101723
0.574538,0.952444,0.556546,-0.107243
0.584646,0.986480,0.554768,-0.100065
0.613245,0.015498,0.101901,-0.020135
0.626025,0.044177,0.122928,-0.053484
0.627055,0.016741,0.119327,-0.020340
0.626752,0.061046,0.128842,-0.072995
0.645079,0.080804,0.156067,-0.087537
0.607622,0.076889,0.112728,-0.099606
0.610994,0.146874,0.161645,-0.172648
0.601678,0.147566,0.153514,-0.180834
0.622956,0.138754,0.166557,-0.156293
0.612306,0.179450,0.189844,-0.198878
0.608018,0.175132,0.182741,-0.199300
0.634625,0.179278,0.206066,-0.180471
0.606889,0.246971,0.249884,-0.243970
0.607931,0.231427,0.235246,-0.235735
0.649415,0.242577,0.264313,-0.204624
0.617907,0.262660,0.269104,-0.239592
0.608075,0.293933,0.295728,-0.257696
0.606837,0.285130,0.287017,-0.256850
0.610673,0.333589,0.332606,-0.260667
0.646176,0.305752,0.313866,-0.226962
0.614393,0.303798,0.306159,-0.253734
0.632641,0.375386,0.367171,-0.243289
0.600672,0.384319,0.376379,-0.267827
0.622952,0.373628,0.366141,-0.250781
0.623073,0.435258,0.410652,-0.243808
0.603077,0.431091,0.411657,-0.258263
0.610390,0.437702,0.414700,-0.251828
0.610369,0.467279,0.433755,-0.245054
0.634673,0.468300,0.428879,-0.230385
0.648706,0.484088,0.434834,-0.219482
0.610877,0.516613,0.461086,-0.231100
0.646749,0.518952,0.452736,-0.212970
0.610545,0.503586,0.454439,-0.235103
0.604082,0.571219,0.487873,-0.216673
0.637174,0.550258,0.469183,-0.209377
0.626971,0.551567,0.472586,-0.213356
0.604056,0.609612,0.501865,-0.203655
0.626953,0.604728,0.492868,-0.197560
0.643931,0.649905,0.501655,-0.179199
0.628356,0.667004,0.510650,-0.178312
0.635163,0.681433,0.512134,-0.172428
0.648095,0.695553,0.511709,-0.165548
0.619136,0.708464,0.522700,-0.167916
0.612832,0.703809,0.523689,-0.170597
0.626765,0.711537,0.521051,-0.165497
0.637897,0.787642,0.530341,-0.142828
0.628150,0.784646,0.532495,-0.144880
0.606594,0.788695,0.538887,-0.146440
0.638232,0.810677,0.533072,-0.136970
0.609914,0.825406,0.541819,-0.136132
0.610935,0.836885,0.542571,-0.133071
0.626973,0.864991,0.540894,-0.124905
0.646497,0.853927,0.535476,-0.125854
0.619719,0.890428,0.544271,-0.119516
0.603832,0.948075,0.550200,-0.107586
0.607432,0.938995,0.549169,-0.109392
0.629509,0.905527,0.542963,-0.115604
0.634548,0.998644,0.545512,-0.097001
0.613992,0.997380,0.549246,-0.097632
0.602453,0.990756,0.551331,-0.099051
0.658917,0.040350,0.158377,-0.041998
0.678398,0.037067,0.176976,-0.035405
0.674996,0.034992,0.173421,-0.033952
0.675763,0.063228,0.180027,-0.060405
0.695669,0.085677,0.203809,-0.074080
0.688634,0.056604,0.190029,-0.051304
0.672562,0.115607,0.196395,-0.107552
0.671595,0.119059,0.197217,-0.110837
0.669534,0.141314,0.206979,-0.129459
0.659487,0.173366,0.219109,-0.158644
0.689389,0.166919,0.234881,-0.136379
0.662361,0.168898,0.218171,-0.153725
0.672446,0.246910,0.277143,-0.189161
0.667542,0.236437,0.267585,-0.188255
0.694290,0.219996,0.268818,-0.162858
0.677194,0.253207,0.283429,-0.188277
0.660346,0.255592,0.278789,-0.201418
0.690274,0.285342,0.309611,-0.189845
0.690584,0.316037,0.330006,-0.196810
0.698570,0.336253,0.344331,-0.195053
0.651714,0.337204,0.339078,-0.227405
0.692857,0.374276,0.367395,-0.202296
0.652811,0.364452,0.359183,-0.228425
0.693335,0.372345,0.366239,-0.201898
0.655766,0.402822,0.385510,-0.225896
0.695711,0.445155,0.407863,-0.199649
0.669740,0.408072,0.388177,-0.216725
0.664054,0.492186,0.436141,-0.210058
0.654982,0.481596,0.432332,-0.216628
0.678624,0.499271,0.437103,-0.201750
0.651592,0.505817,0.445336,-0.213566
0.652478,0.511938,0.448112,-0.211822
0.661409,0.542752,0.460006,-0.200965
0.697280,0.551993,0.456475,-0.184597
0.658789,0.595850,0.480975,-0.189150
0.688246,0.560503,0.461451,-0.186449
0.683054,0.631103,0.486309,-0.172898
0.684779,0.635866,0.487293,-0.171302
0.695555,0.628114,0.482643,-0.169895
0.658211,0.651321,0.498159,-0.174925
0.680936,0.653922,0.493191,-0.168158
0.696476,0.650676,0.488786,-0.164734
0.661994,0.710530,0.511235,-0.158655
0.692863,0.716976,0.505160,-0.150800
